holder_id,nome,tipo,depositadas,concedidas,A_depositadas,A_concedidas,B_depositadas,B_concedidas,C_depositadas,C_concedidas,D_depositadas,D_concedidas,E_depositadas,E_concedidas,F_depositadas,F_concedidas,G_depositadas,G_concedidas,H_depositadas,H_concedidas,num_colaboradores,is_foreign,cluster
125,MAN TRUCK BUS AG,Company,372,348,1,1,168,161,6,5,0,0,5,4,187,175,31,26,14,12,27,1,5
147,HONDA MOTOR CO LTD,Company,1076,772,10,7,624,501,16,10,1,1,15,9,338,256,55,31,42,22,171,1,5
188,NIPPON STEEL CORPORATION,Company,937,613,0,0,314,238,465,343,0,0,41,35,93,77,63,59,152,99,47,1,5
214,PETRÃ“LEO BRASILEIRO SA,Company,746,472,8,5,227,163,194,126,2,2,190,127,109,93,134,66,24,11,97,0,5
312,SCANIA CV AB,Company,669,385,10,5,359,228,6,3,0,0,6,5,331,204,105,59,46,21,36,1,5
328,DEERE COMPANY,Company,1370,667,719,363,295,138,5,3,0,0,89,22,166,90,198,84,87,54,131,1,5
1101,DOW GLOBAL TECHNOLOGIES LLC,Company,2259,1377,148,72,543,351,1570,1040,63,42,20,14,26,12,38,21,115,87,267,1,5
1208,THE BOEING COMPANY,Company,1099,843,36,24,619,507,47,38,5,5,17,12,119,103,292,212,144,107,60,1,5
5783,TOYOTA JIDOSHA KABUSHIKI KAISHA,Company,1050,634,15,7,448,289,73,45,2,1,8,5,279,180,157,78,257,169,188,1,5
17748,BASF SE,Company,2082,1013,587,317,309,170,1280,697,50,39,10,4,45,30,45,8,18,9,206,1,5
79254,SNECMA,Company,556,540,0,0,184,181,36,36,17,17,0,0,370,364,76,76,7,7,51,1,5
79937,NISSAN MOTOR CO LTD,Company,683,504,2,2,346,274,15,13,0,0,3,3,133,119,196,125,176,134,83,1,5
